gagename,event_id,eventdatastart_edt,eventdataend_edt,eventduration_hr,eventpeakintensity_inhr,eventavgintensity_inhr,eventdepth_in
7,62,2021-02-27T05:00:00Z,2021-02-27T14:45:00Z,10,0.08,0.038,0.38
7,63,2021-02-28T15:15:00Z,2021-03-01T12:00:00Z,21,0.2,0.0467,0.98
7,64,2021-03-18T11:45:00Z,2021-03-19T05:00:00Z,17.5,0.2,0.0457,0.8
7,65,2021-03-24T15:00:00Z,2021-03-25T01:00:00Z,10.25,0.68,0.158,1.62
7,66,2021-03-28T12:30:00Z,2021-03-28T15:45:00Z,3.5,0.28,0.0914,0.32
7,67,2021-03-28T23:15:00Z,2021-03-29T00:30:00Z,1.5,0.28,0.1267,0.19
7,68,2021-03-31T18:15:00Z,2021-04-01T04:45:00Z,10.75,0.2,0.0465,0.5
7,69,2021-04-10T08:15:00Z,2021-04-10T08:45:00Z,0.75,0.32,0.2133,0.16
7,70,2021-04-11T09:00:00Z,2021-04-11T19:15:00Z,10.5,0.4,0.0495,0.52
7,71,2021-04-12T04:00:00Z,2021-04-12T06:00:00Z,2.25,0.4,0.0933,0.21000000000000002
7,72,2021-04-25T04:45:00Z,2021-04-25T11:15:00Z,6.75,0.16,0.0889,0.6
7,73,2021-04-29T17:45:00Z,2021-04-30T03:00:00Z,9.5,1.08,0.0516,0.49000000000000005
7,74,2021-05-03T23:45:00Z,2021-05-04T08:15:00Z,8.75,0.2,0.0309,0.27
7,75,2021-05-05T13:30:00Z,2021-05-05T17:00:00Z,3.75,0.52,0.08,0.3
7,76,2021-05-07T23:00:00Z,2021-05-08T09:45:00Z,11,0.84,0.0509,0.56
7,77,2021-05-26T22:15:00Z,2021-05-27T04:00:00Z,6,1.36,0.1033,0.62
7,78,2021-05-28T19:30:00Z,2021-05-29T18:15:00Z,23,0.44,0.0813,1.87
7,79,2021-05-30T09:00:00Z,2021-05-30T19:45:00Z,11,0.08,0.03,0.33
7,80,2021-06-03T22:00:00Z,2021-06-04T03:45:00Z,6,0.756,0.13,0.78
7,81,2021-06-04T19:45:00Z,2021-06-04T20:30:00Z,1,0.988,0.395,0.39499999999999996
7,82,2021-06-08T18:00:00Z,2021-06-09T03:00:00Z,9.25,0.184,0.0357,0.33
7,83,2021-06-11T14:30:00Z,2021-06-11T20:00:00Z,5.75,0.072,0.02,0.11499999999999999
7,84,2021-06-15T00:45:00Z,2021-06-15T07:45:00Z,7.25,2.144,0.1527,1.107
7,85,2021-06-19T20:15:00Z,2021-06-19T21:15:00Z,1.25,0.412,0.152,0.19
7,86,2021-06-22T00:00:00Z,2021-06-22T04:45:00Z,5,0.176,0.0364,0.182
7,87,2021-06-22T16:45:00Z,2021-06-22T21:15:00Z,4.75,0.092,0.0297,0.141
