gagename,event_id,eventdatastart_edt,eventdataend_edt,eventduration_hr,eventpeakintensity_inhr,eventavgintensity_inhr,eventdepth_in
7,269,2024-02-22T23:45:00Z,2024-02-23T07:45:00Z,8.25,0.08,0.0145,0.12
7,270,2024-02-27T21:45:00Z,2024-02-27T23:00:00Z,1.5,0.12,0.08,0.12
7,271,2024-02-29T01:45:00Z,2024-02-29T02:30:00Z,1,0.32,0.12,0.12
7,272,2024-03-02T05:15:00Z,2024-03-02T23:00:00Z,18,0.24,0.0728,1.31
7,273,2024-03-05T07:15:00Z,2024-03-05T19:30:00Z,12.5,0.24,0.0192,0.24
7,274,2024-03-06T17:15:00Z,2024-03-07T09:30:00Z,16.5,0.36,0.0618,1.02
7,275,2024-03-09T17:00:00Z,2024-03-10T04:00:00Z,11.25,0.48,0.1102,1.24
7,276,2024-03-23T07:00:00Z,2024-03-23T18:45:00Z,12,0.76,0.2475,2.97
7,277,2024-03-27T19:15:00Z,2024-03-28T08:30:00Z,13.5,0.12,0.0311,0.42
7,278,2024-04-01T11:30:00Z,2024-04-01T17:45:00Z,6.5,0.16,0.0585,0.38
7,279,2024-04-02T08:30:00Z,2024-04-04T06:45:00Z,46.5,0.56,0.054,2.5100000000000002
7,280,2024-04-12T01:15:00Z,2024-04-12T16:30:00Z,15.5,0.44,0.0374,0.5800000000000001
7,281,2024-04-20T09:30:00Z,2024-04-20T10:30:00Z,1.25,0.2,0.144,0.18
7,282,2024-04-28T05:00:00Z,2024-04-28T07:15:00Z,2.5,0.24,0.056,0.14
7,283,2024-05-04T19:00:00Z,2024-05-05T03:30:00Z,8.75,0.08,0.0274,0.24
7,284,2024-05-05T12:00:00Z,2024-05-05T19:00:00Z,7.25,0.08,0.0193,0.14
7,285,2024-05-10T01:15:00Z,2024-05-10T22:00:00Z,21,0.16,0.0205,0.43
7,286,2024-05-12T08:00:00Z,2024-05-12T16:15:00Z,8.5,0.12,0.0153,0.13
7,287,2024-05-15T01:15:00Z,2024-05-15T13:30:00Z,12.5,0.08,0.0208,0.26
7,288,2024-05-18T16:45:00Z,2024-05-19T00:45:00Z,8.25,0.08,0.0194,0.16
7,289,2024-05-27T16:30:00Z,2024-05-27T20:00:00Z,3.75,0.6,0.0987,0.37
7,290,2024-06-06T02:00:00Z,2024-06-06T05:15:00Z,3.5,1,0.2114,0.74
7,291,2024-06-14T21:45:00Z,2024-06-14T22:30:00Z,1,0.44,0.15,0.15
7,292,2024-06-22T19:00:00Z,2024-06-22T19:15:00Z,0.5,1.6,1.2,0.6000000000000001
7,293,2024-06-23T22:00:00Z,2024-06-23T22:45:00Z,1,0.56,0.26,0.26
7,294,2024-06-27T04:30:00Z,2024-06-27T08:15:00Z,4,1.52,0.16,0.64
7,295,2024-06-30T03:15:00Z,2024-06-30T13:30:00Z,10.5,0.24,0.0343,0.36
7,296,2024-06-30T21:00:00Z,2024-06-30T22:30:00Z,1.75,0.52,0.1829,0.32
7,297,2024-07-07T08:00:00Z,2024-07-07T09:00:00Z,1.25,0.68,0.272,0.34
7,298,2024-07-11T05:45:00Z,2024-07-11T06:45:00Z,1.25,0.36,0.16,0.19999999999999998
7,299,2024-07-12T14:00:00Z,2024-07-12T23:15:00Z,9.5,0.12,0.0147,0.14
7,300,2024-07-17T01:00:00Z,2024-07-17T02:00:00Z,1.25,0.84,0.248,0.31
7,301,2024-07-18T01:00:00Z,2024-07-18T01:30:00Z,0.75,0.64,0.2533,0.19
7,302,2024-07-23T06:00:00Z,2024-07-23T07:30:00Z,1.75,0.16,0.0743,0.13
7,303,2024-07-24T15:30:00Z,2024-07-24T17:45:00Z,2.5,1.6,0.424,1.06
7,304,2024-08-02T21:45:00Z,2024-08-03T05:00:00Z,7.5,1.36,0.0733,0.55
7,305,2024-08-03T22:45:00Z,2024-08-04T02:15:00Z,3.75,1.12,0.1253,0.47000000000000003
7,306,2024-08-06T23:45:00Z,2024-08-07T07:00:00Z,7.5,1.76,0.252,1.8900000000000001
7,307,2024-08-08T08:15:00Z,2024-08-09T08:30:00Z,24.5,1.44,0.0665,1.6300000000000001
7,308,2024-08-09T20:30:00Z,2024-08-10T00:30:00Z,4.25,0.44,0.0729,0.31
