"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"170","411-1-1","CS1",246,7,19,1.12,0.0589,1.12,"2023-09-17 19:45:00","2023-09-18 14:30:00",0.828,"FALSE",7.75,12.831
"171","411-1-1","CS1",247,7,10.5,0.28,0.08,0.84,"2023-09-23 07:00:00","2023-09-23 17:15:00",1.3343,"FALSE",-820,19.0377
"172","411-1-1","CS1",248,7,26,0.32,0.0485,1.26,"2023-09-24 00:30:00","2023-09-25 02:15:00",1.3343,"FALSE",25.5,25.8565
"173","411-1-1","CS1",249,7,9.75,0.68,0.0605,0.59,"2023-09-28 23:45:00","2023-09-29 09:15:00",0.9847,"FALSE",18.25,20.4708
"174","411-1-1","CS1",250,7,15.25,0.16,0.0374,0.57,"2023-10-14 14:00:00","2023-10-15 05:00:00",0.5098,"FALSE",-810,0.6877
"175","411-1-1","CS1",251,7,3.75,0.36,0.048,0.18,"2023-10-20 07:00:00","2023-10-20 10:30:00",0.2223,"FALSE",-810,0
"176","411-1-1","CS1",252,7,4,0.08,0.0325,0.13,"2023-11-01 00:45:00","2023-11-01 04:30:00",0.228,"FALSE",-810,0
"177","411-1-1","CS1",253,7,15.5,1.04,0.1181,1.83,"2023-11-21 18:45:00","2023-11-22 10:00:00",1.9534,"FALSE",2.5,44.9389
"178","411-1-1","CS1",254,7,9.75,0.76,0.0974,0.95,"2023-11-26 20:00:00","2023-11-27 05:30:00",1.4785,"FALSE",2.5,30.1203
"179","411-1-1","CS1",255,7,4.75,0.16,0.0863,0.41,"2023-12-01 20:30:00","2023-12-02 01:00:00",0.3914,"FALSE",-810,0
"180","411-1-1","CS1",256,7,14,0.16,0.0507,0.71,"2023-12-03 05:45:00","2023-12-03 19:30:00",0.8088,"FALSE",-830,3.2287
"181","411-1-1","CS1",257,7,19,0.72,0.0932,1.77,"2023-12-10 18:15:00","2023-12-11 13:00:00",1.2394,"FALSE",8,18.8216
"182","411-1-1","CS1",258,7,20.5,0.92,0.1483,3.04,"2023-12-17 20:45:00","2023-12-18 17:00:00",2.3253,"FALSE",-830,52.5668
"183","411-1-1","CS1",259,7,21,0.44,0.0648,1.36,"2023-12-27 10:00:00","2023-12-28 06:45:00",1.4048,"FALSE",2.5,33.4832
"184","411-1-1","CS1",260,7,18,0.28,0.0517,0.93,"2024-01-06 20:15:00","2024-01-07 14:00:00",1.0264,"FALSE",2,14.9758
"185","411-1-1","CS1",261,7,14,0.92,0.1643,2.3,"2024-01-09 15:45:00","2024-01-10 05:30:00",1.3014,"FALSE",3.25,20.7888
"186","411-1-1","CS1",262,7,14,0.48,0.0507,0.71,"2024-01-13 02:45:00","2024-01-13 16:30:00",0.5104,"FALSE",-810,0
"187","411-1-1","CS1",263,7,10.75,0.16,0.0177,0.19,"2024-01-25 05:30:00","2024-01-25 16:00:00",0.5688,"FALSE",-810,0
"188","411-1-1","CS1",264,7,11.25,0.16,0.024,0.27,"2024-01-26 04:30:00","2024-01-26 15:30:00",0.4371,"FALSE",-810,1.5842
"189","411-1-1","CS1",265,7,18,0.4,0.0433,0.78,"2024-01-28 06:30:00","2024-01-29 00:15:00",1.0427,"FALSE",13.75,11.7664
"190","411-1-1","CS1",266,7,9.75,0.08,0.0144,0.14,"2024-02-02 06:15:00","2024-02-02 15:45:00",0.3619,"FALSE",-810,0
"191","411-1-1","CS1",267,7,17,0.24,0.0476,0.81,"2024-02-13 01:45:00","2024-02-13 18:30:00",0.909,"FALSE",1.25,14.3744
"192","411-1-1","CS1",268,7,10.75,0.08,0.0158,0.17,"2024-02-17 06:45:00","2024-02-17 17:15:00",0.5258,"FALSE",-810,0
"193","411-1-1","CS1",269,7,8.25,0.08,0.0145,0.12,"2024-02-22 23:45:00","2024-02-23 07:45:00",0.36,"FALSE",-810,0
"194","411-1-1","CS1",270,7,1.5,0.12,0.08,0.12,"2024-02-27 21:45:00","2024-02-27 23:00:00",0.3244,"FALSE",-810,0.0961
"195","411-1-1","CS1",271,7,1,0.32,0.12,0.12,"2024-02-29 01:45:00","2024-02-29 02:30:00",0.3387,"FALSE",-810,0
"196","411-1-1","CS1",272,7,18,0.24,0.0728,1.31,"2024-03-02 05:15:00","2024-03-02 23:00:00",1.0255,"FALSE",6.75,14.7544
"197","411-1-1","CS1",273,7,12.5,0.24,0.0192,0.24,"2024-03-05 07:15:00","2024-03-05 19:30:00",1.3498,"FALSE",1.75,25.0217
"198","411-1-1","CS1",274,7,16.5,0.36,0.0618,1.02,"2024-03-06 17:15:00","2024-03-07 09:30:00",1.3498,"FALSE",-810,0
"199","411-1-1","CS1",275,7,11.25,0.48,0.1102,1.24,"2024-03-09 17:00:00","2024-03-10 03:00:00",1.2737,"FALSE",18,21.0652
"200","411-1-1","CS1",276,7,12,0.76,0.2475,2.97,"2024-03-23 06:00:00","2024-03-23 17:45:00",1.6406,"FALSE",4.5,27.8455
"201","411-1-1","CS1",277,7,13.5,0.12,0.0311,0.42,"2024-03-27 18:15:00","2024-03-28 07:30:00",0.6075,"FALSE",5,6.7517
"202","411-1-1","CS1",278,7,6.5,0.16,0.0585,0.38,"2024-04-01 10:30:00","2024-04-01 16:45:00",1.3809,"FALSE",2.75,22.892
"203","411-1-1","CS1",279,7,46.5,0.56,0.054,2.51,"2024-04-02 07:30:00","2024-04-04 05:45:00",1.3809,"FALSE",4,23.4444
"204","411-1-1","CS1",280,7,15.5,0.44,0.0374,0.58,"2024-04-12 00:15:00","2024-04-12 15:30:00",0.7269,"FALSE",4.25,3.4573
"205","411-1-1","CS1",281,7,1.25,0.2,0.144,0.18,"2024-04-20 08:30:00","2024-04-20 09:30:00",0.287,"FALSE",-810,0
"206","411-1-1","CS1",282,7,2.5,0.24,0.056,0.14,"2024-04-28 04:00:00","2024-04-28 06:15:00",0.4727,"FALSE",-810,0
"207","411-1-1","CS1",283,7,8.75,0.08,0.0274,0.24,"2024-05-04 18:00:00","2024-05-05 02:30:00",0.5326,"FALSE",1.75,4.8689
"208","411-1-1","CS1",284,7,7.25,0.08,0.0193,0.14,"2024-05-05 11:00:00","2024-05-05 18:00:00",0.5326,"FALSE",1.75,4.4015
"209","411-1-1","CS1",285,7,21,0.16,0.0205,0.43,"2024-05-10 00:15:00","2024-05-10 21:00:00",0.7394,"FALSE",4.75,17.4051
"210","411-1-1","CS1",286,7,8.5,0.12,0.0153,0.13,"2024-05-12 07:00:00","2024-05-12 15:15:00",0.3264,"FALSE",-810,1.6477
"211","411-1-1","CS1",287,7,12.5,0.08,0.0208,0.26,"2024-05-15 00:15:00","2024-05-15 12:30:00",0.5852,"FALSE",2.25,7.7755
"212","411-1-1","CS1",288,7,8.25,0.08,0.0194,0.16,"2024-05-18 15:45:00","2024-05-18 23:45:00",0.4035,"FALSE",-810,0
"213","411-1-1","CS1",289,7,3.75,0.6,0.0987,0.37,"2024-05-27 15:30:00","2024-05-27 19:00:00",0.4319,"FALSE",-810,0
"214","411-1-1","CS1",290,7,3.5,1,0.2114,0.74,"2024-06-06 01:00:00","2024-06-06 04:15:00",0.4711,"FALSE",-810,0
"215","411-1-1","CS1",291,7,1,0.44,0.15,0.15,"2024-06-14 20:45:00","2024-06-14 21:30:00",0.2083,"FALSE",-810,0
"216","411-1-1","CS1",292,7,0.5,1.6,1.2,0.6,"2024-06-22 18:00:00","2024-06-22 18:15:00",0.3386,"FALSE",-810,0
"217","411-1-1","CS1",293,7,1,0.56,0.26,0.26,"2024-06-23 21:00:00","2024-06-23 21:45:00",0.3214,"FALSE",-810,0.0254
"218","411-1-1","CS1",294,7,4,1.52,0.16,0.64,"2024-06-27 03:30:00","2024-06-27 07:15:00",0.32,"FALSE",-810,0
"219","411-1-1","CS1",295,7,10.5,0.24,0.0343,0.36,"2024-06-30 02:15:00","2024-06-30 12:30:00",0.5904,"FALSE",1.75,4.2773
"220","411-1-1","CS1",296,7,1.75,0.52,0.1829,0.32,"2024-06-30 20:00:00","2024-06-30 21:30:00",0.2937,"FALSE",-810,0
"221","411-1-1","CS1",297,7,1.25,0.68,0.272,0.34,"2024-07-07 07:00:00","2024-07-07 08:00:00",0.3411,"FALSE",-810,0
"222","411-1-1","CS1",298,7,1.25,0.36,0.16,0.2,"2024-07-11 04:45:00","2024-07-11 05:45:00",0.3446,"FALSE",-810,0
"223","411-1-1","CS1",299,7,9.5,0.12,0.0147,0.14,"2024-07-12 13:00:00","2024-07-12 22:15:00",0.3444,"FALSE",-810,0
"224","411-1-1","CS1",300,7,1.25,0.84,0.248,0.31,"2024-07-17 00:00:00","2024-07-17 01:00:00",0.3202,"FALSE",-810,0
"225","411-1-1","CS1",301,7,0.75,0.64,0.2533,0.19,"2024-07-18 00:00:00","2024-07-18 00:30:00",0.307,"FALSE",-810,0
"226","411-1-1","CS1",302,7,1.75,0.16,0.0743,0.13,"2024-07-23 05:00:00","2024-07-23 06:30:00",0.1273,"FALSE",-810,0
"227","411-1-1","CS1",303,7,2.5,1.6,0.424,1.06,"2024-07-24 14:30:00","2024-07-24 16:45:00",0.324,"FALSE",-810,0
"228","411-1-1","CS1",304,7,7.5,1.36,0.0733,0.55,"2024-08-02 20:45:00","2024-08-03 04:00:00",0.4968,"FALSE",0.25,7.8525
"229","411-1-1","CS1",305,7,3.75,1.12,0.1253,0.47,"2024-08-03 21:45:00","2024-08-04 01:15:00",0.4968,"FALSE",-810,0
"230","411-1-1","CS1",306,7,7.5,1.76,0.252,1.89,"2024-08-06 22:45:00","2024-08-07 06:00:00",0.9785,"FALSE",16.5,10.2895
"231","411-1-1","CS1",307,7,24.5,1.44,0.0665,1.63,"2024-08-08 07:15:00","2024-08-09 07:30:00",2.1866,"FALSE",3,52.2541
"232","411-1-1","CS1",308,7,4.25,0.44,0.0729,0.31,"2024-08-09 19:30:00","2024-08-09 23:30:00",0.3504,"FALSE",-810,0.0114
