"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"40","411-1-1","CS1",116,7,4,0.32,0.0375,0.15,"2021-11-12 12:15:00","2021-11-12 16:00:00",1.0645,"FALSE",-810,0
"41","411-1-1","CS1",117,7,6.75,0.08,0.0281,0.19,"2021-11-26 06:00:00","2021-11-26 12:30:00",0.6621,"FALSE",4.25,14.0003
"42","411-1-1","CS1",118,7,0.5,0.4,0.22,0.11,"2021-12-07 00:45:00","2021-12-07 01:00:00",0.1857,"FALSE",-810,0
"43","411-1-1","CS1",119,7,8.5,0.12,0.0129,0.11,"2021-12-11 05:15:00","2021-12-11 13:30:00",0.2148,"FALSE",-810,0
"44","411-1-1","CS1",120,7,1.5,0.24,0.0733,0.11,"2021-12-12 01:45:00","2021-12-12 03:00:00",0.174,"FALSE",-810,0
"45","411-1-1","CS1",121,7,3,0.12,0.04,0.12,"2021-12-18 09:15:00","2021-12-18 12:00:00",0.1195,"FALSE",-810,0
"46","411-1-1","CS1",122,7,5.75,0.08,0.0243,0.14,"2021-12-22 06:30:00","2021-12-22 12:00:00",0.4011,"FALSE",1.75,7.3898
"47","411-1-1","CS1",123,7,4,0.12,0.0525,0.21,"2021-12-30 06:15:00","2021-12-30 10:00:00",0.1423,"FALSE",-810,0
"48","411-1-1","CS1",124,7,26.25,0.6,0.0305,0.8,"2022-01-01 08:45:00","2022-01-02 10:45:00",1.9206,"FALSE",-830,46.1128
"49","411-1-1","CS1",125,7,8.25,0.076,0.0168,0.139,"2022-01-07 07:00:00","2022-01-07 15:00:00",0.4046,"FALSE",-810,0.1214
"50","411-1-1","CS1",126,7,11.75,0.08,0.0145,0.17,"2022-01-09 14:15:00","2022-01-10 01:45:00",1.2089,"FALSE",3.25,23.8911
"51","411-1-1","CS1",127,7,12,0.56,0.095,1.14,"2022-01-17 02:45:00","2022-01-17 14:30:00",1.2029,"FALSE",-810,0
